sales_id,sale_date,mr_id,doctor_id,product_id,units_sold,revenue,territory
1,2024-11-21,88,430,23,35,12109.3,Bangalore
2,2025-08-14,85,347,15,15,1355.1,Delhi
3,2025-08-16,31,44,41,4,207.52,Chennai
4,2026-03-20,83,483,14,4,814.48,Pune
5,2025-01-09,76,499,28,56,9773.12,Pune
6,2026-01-24,96,94,6,2,538.32,Hyderabad
7,2024-08-12,94,340,9,16,962.72,Chennai
8,2026-05-17,60,216,48,16,1667.84,Chennai
9,2025-09-11,90,493,14,16,3257.92,Bangalore
10,2026-04-27,44,319,23,12,4151.76,Mumbai
11,2026-04-04,92,282,50,16,7310.56,Chennai
12,2025-02-22,60,497,15,10,903.4,Pune
13,2025-06-08,2,387,20,14,2257.36,Delhi
14,2025-01-27,94,366,31,20,9079.8,Bangalore
15,2025-07-30,29,483,14,6,1221.72,Bangalore
16,2025-06-14,21,32,5,56,24269.84,Mumbai
17,2024-10-19,23,202,32,19,6160.94,Delhi
18,2025-05-26,61,418,25,6,2239.86,Chennai
19,2025-05-12,7,348,29,10,4577.7,Bangalore
20,2024-09-20,5,152,36,10,1394.5,Chennai
21,2025-10-06,62,361,27,18,3147.48,Chennai
22,2025-02-18,39,163,37,48,18233.76,Pune
23,2024-12-10,50,242,36,44,6135.8,Delhi
24,2025-09-29,15,114,15,18,1626.12,Mumbai
25,2025-06-24,83,361,24,13,1524.64,Bangalore
26,2025-08-16,5,56,5,22,9534.58,Chennai
27,2025-07-18,23,146,25,34,12692.54,Bangalore
28,2024-10-28,32,282,16,2,819.16,Hyderabad
29,2024-07-10,2,133,7,6,2671.44,Mumbai
30,2025-09-05,41,55,31,30,13619.7,Chennai
31,2025-03-09,11,491,17,3,1327.38,Bangalore
32,2025-05-15,55,472,16,11,4505.38,Mumbai
33,2026-02-13,21,310,34,53,17505.37,Delhi
34,2026-02-19,52,303,2,15,3459.45,Bangalore
35,2024-08-17,75,115,21,82,31182.14,Mumbai
36,2025-10-09,7,228,48,35,3648.4,Mumbai
37,2025-10-31,44,394,9,37,2226.29,Pune
38,2025-12-09,43,457,31,6,2723.94,Bangalore
39,2025-09-15,12,215,25,7,2613.17,Chennai
40,2025-05-24,57,252,34,49,16184.21,Hyderabad
41,2025-08-19,12,219,16,9,3686.22,Chennai
42,2025-12-21,4,180,43,23,9673.34,Mumbai
43,2025-06-11,59,27,28,27,4712.04,Mumbai
44,2026-03-18,17,143,19,10,1880.7,Chennai
45,2024-07-23,46,269,16,7,2867.06,Hyderabad
46,2025-01-29,84,41,34,29,9578.41,Mumbai
47,2025-03-27,87,331,29,15,6866.55,Bangalore
48,2024-08-10,46,31,5,12,5200.68,Pune
49,2025-04-03,43,496,49,9,3715.92,Hyderabad
50,2025-12-20,47,143,16,1,409.58,Bangalore
51,2025-06-12,96,113,5,7,3033.73,Hyderabad
52,2025-08-05,54,160,26,1,270.0,Pune
53,2025-04-06,8,337,36,32,4462.4,Hyderabad
54,2025-09-19,31,343,26,16,4320.0,Pune
55,2025-03-08,96,437,21,2,760.54,Chennai
56,2025-08-03,36,65,42,8,867.12,Pune
57,2024-07-06,10,420,45,46,10195.9,Hyderabad
58,2026-01-08,85,282,24,6,703.68,Chennai
59,2026-01-09,54,277,23,1,345.98,Bangalore
60,2025-01-04,89,308,18,3,1070.01,Chennai
61,2025-02-17,17,485,42,27,2926.53,Hyderabad
62,2024-10-16,48,308,28,47,8202.44,Bangalore
63,2024-09-23,78,79,2,8,1845.04,Pune
64,2025-04-27,2,500,10,5,1026.65,Pune
